post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,_sku,parent_sku,parent,_children,_downloadable,_virtual,_stock,_regular_price,_sale_price,_weight,_length,_width,_height,_tax_class,_visibility,_stock_status,_backorders,_sold_individually,_low_stock_amount,_manage_stock,_tax_status,_upsell_ids,_crosssell_ids,_featured,_purchase_note,_sale_price_dates_from,_sale_price_dates_to,_download_limit,_download_expiry,_product_url,_button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords
"Andrew Martin Fabric - Friendly Folk - Basil Green",andrew-martin-fabric-friendly-folk-basil-green,,405995,"<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>","Inspired by 15th and 16th century tapestries, Friendly Folk shows bushy tailed creatures peering amongst hedgerows, blooming trees and rolling English hills. With a rich sense of folklore and the lyricism of rural land, Friendly Folk is made contemporary in a washed light grey. A linen blend fabric, great for upholstery, curtains and cushions.",publish,,0,"2021-02-03 22:25:40",1,open,FriendlyFolkBasilGreen,,,,no,no,,730.02,,0.4,0.5,0.5,160,,,instock,no,no,,no,taxable,,,,,,,0,0,,,"https://inspiry.co.nz/wp-content/uploads/2021/02/FriendlyFolkBasilGreen.jpg ! alt :  ! title : FriendlyFolkBasilGreen.jpg ! desc :  ! caption :  | https://inspiry.co.nz/wp-content/uploads/2021/02/FriendlyFolkBasilGreen-1.jpg ! alt :  ! title : FriendlyFolkBasilGreen-1.jpg ! desc :  ! caption :  | https://inspiry.co.nz/wp-content/uploads/2021/02/FriendlyFolkBasilGreen-2.jpg ! alt :  ! title : FriendlyFolkBasilGreen-2.jpg ! desc :  ! caption :  | https://inspiry.co.nz/wp-content/uploads/2021/02/FriendlyFolkBasilGreen-3.jpg ! alt :  ! title : FriendlyFolkBasilGreen-3.jpg ! desc :  ! caption : ",,https://inspiry.co.nz/products/andrew-martin-fabric-friendly-folk-basil-green/,,,,,,,,,,,
"Andrew Martin Fabric - Friendly Folk - Before Dawn",andrew-martin-fabric-friendly-folk-before-dawn,,405997,"<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>","Inspired by 15th and 16th century tapestries, Friendly Folk shows bushy tailed creatures peering amongst hedgerows, blooming trees and rolling English hills. With a rich sense of folklore and the lyricism of rural land, Friendly Folk is made contemporary in a washed light grey. A linen blend fabric, great for upholstery, curtains and cushions.",publish,,0,"2021-02-03 22:25:41",1,open,FriendlyFolkBeforeDawn,,,,no,no,,276,,0.4,0.5,0.5,160,,,instock,no,no,,no,taxable,,,,,,,0,0,,,"https://inspiry.co.nz/wp-content/uploads/2021/02/FriendlyFolkBeforeDawn-2.jpg ! alt :  ! title : FriendlyFolkBeforeDawn-2.jpg ! desc :  ! caption : ",,https://inspiry.co.nz/products/andrew-martin-fabric-friendly-folk-before-dawn/,,,,,,,,,,,
"Andrew Martin Fabric - Friendly Folk - Dusk",andrew-martin-fabric-friendly-folk-dusk,,405999,"<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>","Inspired by 15th and 16th century tapestries, Friendly Folk shows bushy tailed creatures peering amongst hedgerows, blooming trees and rolling English hills. With a rich sense of folklore and the lyricism of rural land, Friendly Folk is made contemporary in a washed light grey. A linen blend fabric, great for upholstery, curtains and cushions.",publish,,0,"2021-02-03 22:25:42",1,open,FriendlyFolkDusk,,,,no,no,,276,,0.4,0.5,0.5,160,,,instock,no,no,,no,taxable,,,,,,,0,0,,,"https://inspiry.co.nz/wp-content/uploads/2021/02/FriendlyFolkDusk-1.jpg ! alt :  ! title : FriendlyFolkDusk-1.jpg ! desc :  ! caption : ",,https://inspiry.co.nz/products/andrew-martin-fabric-friendly-folk-dusk/,,,,,,,,,,,
"Andrew Martin Fabric - Friendly Folk - Happy Blue",andrew-martin-fabric-friendly-folk-happy-blue,,406001,"<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>","Inspired by 15th and 16th century tapestries, Friendly Folk shows bushy tailed creatures peering amongst hedgerows, blooming trees and rolling English hills. With a rich sense of folklore and the lyricism of rural land, Friendly Folk is made contemporary in a washed light grey. A linen blend fabric, great for upholstery, curtains and cushions.",publish,,0,"2021-02-03 22:25:43",1,open,FriendlyFolkHappyBlue,,,,no,no,,276,,0.4,0.5,0.5,160,,,instock,no,no,,no,taxable,,,,,,,0,0,,,"https://inspiry.co.nz/wp-content/uploads/2021/02/FriendlyFolkHappyBlue-3.jpg ! alt :  ! title : FriendlyFolkHappyBlue-3.jpg ! desc :  ! caption : ",,https://inspiry.co.nz/products/andrew-martin-fabric-friendly-folk-happy-blue/,,,,,,,,,,,
"Andrew Martin Fabric - Friendly Folk - Huntsman Red",andrew-martin-fabric-friendly-folk-huntsman-red,,406003,"<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>","Inspired by 15th and 16th century tapestries, Friendly Folk shows bushy tailed creatures peering amongst hedgerows, blooming trees and rolling English hills. With a rich sense of folklore and the lyricism of rural land, Friendly Folk is made contemporary in a washed light grey. A linen blend fabric, great for upholstery, curtains and cushions.",publish,,0,"2021-02-03 22:25:43",1,open,FriendlyFolkHuntsmanRed,,,,no,no,,276,,0.4,0.5,0.5,160,,,instock,no,no,,no,taxable,,,,,,,0,0,,,"https://inspiry.co.nz/wp-content/uploads/2021/02/FriendlyFolkHuntsmanRed-3.jpg ! alt :  ! title : FriendlyFolkHuntsmanRed-3.jpg ! desc :  ! caption : ",,https://inspiry.co.nz/products/andrew-martin-fabric-friendly-folk-huntsman-red/,,,,,,,,,,,
"Andrew Martin Fabric - Friendly Folk - Melon Orange",andrew-martin-fabric-friendly-folk-melon-orange,,406005,"<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>","Inspired by 15th and 16th century tapestries, Friendly Folk shows bushy tailed creatures peering amongst hedgerows, blooming trees and rolling English hills. With a rich sense of folklore and the lyricism of rural land, Friendly Folk is made contemporary in a washed light grey. A linen blend fabric, great for upholstery, curtains and cushions.",publish,,0,"2021-02-03 22:25:44",1,open,FriendlyFolkMelonOrange,,,,no,no,,276,,0.4,0.5,0.5,160,,,instock,no,no,,no,taxable,,,,,,,0,0,,,"https://inspiry.co.nz/wp-content/uploads/2021/02/FriendlyFolkMelonOrange-1.jpg ! alt :  ! title : FriendlyFolkMelonOrange-1.jpg ! desc :  ! caption : ",,https://inspiry.co.nz/products/andrew-martin-fabric-friendly-folk-melon-orange/,,,,,,,,,,,
"Andrew Martin Fabric - Friendly Folk - Provencal Yellow",andrew-martin-fabric-friendly-folk-provencal-yellow,,406007,"<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>","Inspired by Native American art, Great Plains depicts elaborately head-dressed hunters riding with their pack of dogs and surrounded by decorated quivers and feathered bows and arrows. Full of life-like character and colourful culture, the chase continues beyond the fabric, spinning the intrigue of an imaginative story.",publish,,0,"2021-02-03 22:25:45",1,open,FriendlyFolkProvencalYellow,,,,no,no,,276,,0.4,0.5,0.5,160,,,instock,no,no,,no,taxable,,,,,,,0,0,,,"https://inspiry.co.nz/wp-content/uploads/2021/02/FriendlyFolkProvencalYellow-3.jpg ! alt :  ! title : FriendlyFolkProvencalYellow-3.jpg ! desc :  ! caption : ",,https://inspiry.co.nz/products/andrew-martin-fabric-friendly-folk-provencal-yellow/,,,,,,,,,,,
"Andrew Martin Fabric - Great Plains - Natural",andrew-martin-fabric-great-plains-natural,,406009,"<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>","A patchwork style motif showing the playful faces of mythical creatures prancing between abundant fruit trees. Spot a dragon sprawling amongst succulent plums and a spotted leopard dancing with a strawberry bush. This traditional cotton twill imbued with tales of old is brought up to date with vibrant pinks, blues and greens in painterly fairy tale allure.",publish,,0,"2021-02-03 22:25:46",1,open,GreatPlainsNatural,,,,no,no,,409,,0.4,0.5,0.5,160,,,instock,no,no,,no,taxable,,,,,,,0,0,,,"https://inspiry.co.nz/wp-content/uploads/2021/02/GreatPlainsNatural-3.jpg ! alt :  ! title : GreatPlainsNatural-3.jpg ! desc :  ! caption : ",,https://inspiry.co.nz/products/andrew-martin-fabric-great-plains-natural/,,,,,,,,,,,
"Andrew Martin Fabric - Hedgerow - Quince",andrew-martin-fabric-hedgerow-quince,,406011,"<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>","A patchwork style motif showing the playful faces of mythical creatures prancing between abundant fruit trees. Spot a dragon sprawling amongst succulent plums and a spotted leopard dancing with a strawberry bush. This traditional cotton twill imbued with tales of old is brought up to date with vibrant yellows, blues and greens in painterly fairy tale allure.",publish,,0,"2021-02-03 22:25:46",1,open,HedgerowCerise,,,,no,no,,442,,0.4,0.5,0.5,160,,,instock,no,no,,no,taxable,,,,,,,0,0,,,"https://inspiry.co.nz/wp-content/uploads/2021/02/HedgerowCerise-3.jpg ! alt :  ! title : HedgerowCerise-3.jpg ! desc :  ! caption : ",,https://inspiry.co.nz/products/andrew-martin-fabric-hedgerow-quince/,,,,,,,,,,,
"Andrew Martin Fabric - Hedgerow Plain - Linen",andrew-martin-fabric-hedgerow-plain-linen,,406013,"<h1>Care Code</h1><p><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>","In charcoal with painterly moons and speckled stars acting as polka dots, Over the Moon exudes the calm profundity of the night sky. Look closer and you will see the kindly face of the moon on alternate lines looking back",publish,,0,"2021-02-03 22:25:47",1,open,HedgerowPlainLinen,,,,no,no,,276,,0.4,0.5,0.5,160,,,instock,no,no,,no,taxable,,,,,,,0,0,,,"https://inspiry.co.nz/wp-content/uploads/2021/02/HedgerowPlainLinen-3.jpg ! alt :  ! title : HedgerowPlainLinen-3.jpg ! desc :  ! caption : ",,https://inspiry.co.nz/products/andrew-martin-fabric-hedgerow-plain-linen/,,,,,,,,,,,
